Wall time,Step,Value
1622308771.7229753,451,-108.10906982421875
1622308771.979572,546,-28.95052146911621
1622308774.2873921,1106,-31.795270919799805
1622308776.0744097,1678,-7.043807506561279
1622308776.4697146,1805,-120.65692901611328
1622308777.2039387,2065,-96.72111511230469
1622308777.4239428,2148,-136.49099731445312
1622308777.7053301,2239,-43.022586822509766
1622308778.2940702,2453,-29.759540557861328
1622308778.5510325,2543,-115.02792358398438
1622308779.348381,2804,-102.52495574951172
1622308780.4712193,2917,-67.36587524414062
1622308783.7062035,4043,0.6792302131652832
1622308784.4836874,4323,-49.818359375
1622308786.5313053,5005,-0.15103517472743988
1622308788.564537,5192,-144.91824340820312
1622308790.2926025,5355,-125.89677429199219
1622308793.7740002,5688,-122.52322387695312
1622308810.5733135,7225,-52.75761795043945
1622308822.8888328,8435,-29.667804718017578
1622308850.4927034,10889,-123.2726058959961
1622308856.2659898,11423,-61.8993034362793
1622308867.282781,12423,-153.0681610107422
1622308869.5623775,12642,21.250394821166992
1622308876.0287852,13099,30.980993270874023
1622308879.7478564,13451,30.28242301940918
1622308884.8849266,13928,25.25554847717285
1622308890.2249827,14427,-37.730621337890625
1622308893.6553776,14755,29.733076095581055
1622308903.1411757,15579,-87.7599105834961
1622308915.908862,16850,-23.155956268310547
1622308925.3742862,17704,-2.9347264766693115
1622308935.334352,18648,33.171932220458984
1622308949.243952,19968,11.343381881713867
1622308966.2763617,21621,28.5882625579834
1622309039.290903,27896,-129.26039123535156
1622309052.4963381,28896,-79.03242492675781
1622309086.8620768,31896,-123.54183197021484
1622309121.7331915,34896,-120.38252258300781
1622309122.615385,34982,17.772043228149414
1622309145.283337,36982,-83.00106811523438
1622309229.0090406,43982,-72.32085418701172
1622309287.3079727,48982,-102.819091796875
1622309337.8683937,52982,-78.16250610351562
1622309349.04529,53982,-27.88343620300293
1622309373.3433275,55982,-56.73178482055664
1622309396.7699955,57982,-67.13616943359375
1622309409.5397236,58982,-46.12580490112305
1622309469.403396,63982,-78.14647674560547
1622309471.7543237,64222,45.76506805419922
1622309539.9017982,70054,-78.29800415039062
1622309562.6374793,72054,-74.69021606445312
1622309570.6741467,72738,-163.57701110839844
1622309599.2173736,75266,30.826065063476562
1622309673.7109895,81615,-28.679414749145508
1622309709.768219,84615,-33.37272262573242
1622309732.1927044,86615,-19.584671020507812
1622309757.4754884,88615,-75.66122436523438
1622309828.194977,94615,-53.00032424926758
1622309840.807825,95615,-101.47774505615234
1622309852.297655,96615,-52.679840087890625
1622309888.89411,99615,-26.40323257446289
1622309913.512231,101615,-29.529478073120117
1622309962.031723,105615,-79.0302734375
1622309998.3517013,108615,-45.06272506713867
1622310010.3039753,109615,-44.742164611816406
1622310022.4126482,110615,-44.53053283691406
1622310069.49895,114615,-0.529415488243103
1622310082.3048718,115615,-25.693172454833984
1622310095.3454843,116615,-48.23120880126953
1622310180.6333215,123615,-53.09028625488281
1622310217.1716936,126615,-16.688968658447266
1622310228.4477005,127615,-49.682918548583984
1622310241.6395037,128615,-64.57941436767578
1622310253.6672108,129615,-3.3081166744232178
1622310278.5664918,131615,-37.13352966308594
1622310301.885906,133615,-46.41785430908203
1622310325.7580945,135615,-10.966891288757324
1622310351.21245,137615,-36.93883514404297
1622310375.2106187,139615,-31.619075775146484
1622310393.5296822,140615,-65.53973388671875
1622310430.257168,143615,-51.21202087402344
1622310442.36471,144615,-16.46782112121582
1622310455.877057,145615,-17.69242286682129
1622310491.9600248,148615,-26.287086486816406
1622310554.2308135,153615,-76.36505889892578
1622310682.9686797,163615,-56.28449249267578
1622310708.2151601,165615,-44.41911697387695
1622310737.5423002,167906,-24.50944709777832
1622310750.7842584,168906,-49.212493896484375
1622310762.614325,169906,-34.46340560913086
1622310862.7628295,177906,-66.06977081298828
1622310913.7893157,181906,-13.28561782836914
1622310926.9273276,182906,-32.44065475463867
1622310939.5465324,183906,-49.52888870239258
1622310963.9022448,185906,-48.70351791381836
1622311064.686127,193906,-66.83450317382812
1622311077.2843726,194906,-49.710792541503906
1622311107.5158298,197346,-39.166141510009766
1622311133.079401,199346,-50.59172439575195
1622311149.4536743,200626,45.76471710205078
1622311165.55854,201825,68.84843444824219
1622311189.605066,203825,-78.23768615722656
1622311202.1988933,204825,-17.774965286254883
1622311227.415328,206825,-55.71859359741211
1622311252.4531717,208825,-55.99348449707031
1622311264.5383885,209825,-0.5260231494903564
1622311288.8353672,211825,-52.186527252197266
1622311352.1151798,216825,-34.15776824951172
1622311364.808592,217825,-51.193172454833984
1622311377.5861187,218825,-2.64160418510437
1622311390.2956562,219825,-32.98243713378906
1622311491.6883078,227825,-27.726530075073242
1622311518.2198822,229825,-33.907981872558594
1622311570.727356,233825,-20.98036766052246
1622311620.935117,237825,-49.319759368896484
1622311646.9413586,239825,-63.018611907958984
1622311660.353344,240825,-61.03092956542969
1622311697.7687814,243825,-20.09849739074707
1622311788.487375,250825,-15.976839065551758
1622311814.4370291,252825,-71.0099868774414
1622311827.5342827,253825,-21.99666976928711
1622311895.8365662,258825,-31.39496421813965
1622311908.551366,259825,-56.598731994628906
1622311935.4115841,261825,-39.92959213256836
1622311982.4794073,264825,-71.80321502685547
1622312009.0034995,266825,14.057838439941406
1622312023.4961743,267825,-44.4956169128418
1622312075.9582279,271825,-36.469547271728516
1622312103.1647215,273825,-14.401073455810547
1622312130.7217557,275825,-47.87348175048828
1622312185.3298552,279825,-4.126889228820801
1622312240.7833328,283825,-8.52444076538086
1622312254.8457346,284825,-48.27766799926758
1622312268.846783,285825,-24.582042694091797
1622312281.8435316,286825,-44.97512435913086
1622312295.8910558,287825,-17.5792179107666
1622312308.2610753,288686,17.18213653564453
1622312405.8839064,295686,-27.982240676879883
1622312448.1363034,298686,-25.849966049194336
